;// 무기  , 아이템,ID의, 수정 ,,, 추가, 삭제, 발생시, 클라이언트,팀에,알려,주세요,적용안,할경우,,크래쉬,To ,클라이언트팀,CSWeaponID ,,,, 정의 코드의, 주석 참고 해, 작업해 주세요.
;// 아이템 아이디,// 아이템 이름 ,// 아이템 설명,// 리소스이름,,,// 아이템 카테고리,// 구입메뉴에서 사용되는 카테고리,// 무기 장착 슬롯,//팀정보,// 사용 가능 모드,"// 활성화 타입: 0 자동, 1 수동","// 활성화 이후 기능: 0 장착, 1 주캐릭터설정, 2 사용, 3 없음","// 아이템 타입 - 0 :기간제 / 1 : 개수제 / 2 : 뉴타입 개수제(만료시간이 있는 개수제아이템, 예시-유리/최지윤 쿠폰) / 3: 뉴타입 기간제(기간과 개수가 서로 합쳐지는 형태의 아이템. 단, 기간이 무제한일 경우는 개수만 합쳐짐. 예시-등급제 총기) / 4: 라이프아이템",// 삭제 유예 기간 (일 단위),// 재구매 할인율,"// User Type 0 normal, 1 clan …",,// 기능 정의 옵션,//보너스 정의 옵션(중첩그룹입력),,,//장착사운드,//보너스 정의 옵션 ExpPointModCategory ExpModPriority ExpMod PointModPriority PointMod PCBangExpMod PCBangPointMod TeamBonusExpOther TeamBonusExpSelf TeamBonusPointOther TeamBonusPointSelf,,
;ItemID,Name,ItemDesc,resourcename,ResourceVariation,Class,Category,BuyCategory,WeaponSlot,Team,UsableMod,UseType,EquipType,ItemType,WaitAfterExpire,RepurchaseDiscountRate,userType,Level,FunctionOption,PointExpBonusOption,bonusExp,bonusPoint,EquipSound,propAction,ItemOption,;// LicenseRequire
1,#CSO2_ITEM_NAME_p228,#CSO2_ITEM_DESC_P228,p228,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
2,#CSO2_ITEM_NAME_GLOCK18,#CSO2_ITEM_DESC_GLOCK18,glock18,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
3,#CSO2_ITEM_NAME_scout,#CSO2_ITEM_DESC_SCOUT,scout,default,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
4,#CSO2_ITEM_NAME_hegrenade,#CSO2_ITEM_DESC_HEGRENADE,hegrenade,default,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5,#CSO2_ITEM_NAME_xm1014,#CSO2_ITEM_DESC_XM1014,xm1014,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
6,#CSO2_ITEM_NAME_mac10,#CSO2_ITEM_DESC_MAC10,mac10,default,item,weapon,smg,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
7,#CSO2_ITEM_NAME_aug,#CSO2_ITEM_DESC_AUG,aug,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
8,#CSO2_ITEM_NAME_smokegrenade,#CSO2_ITEM_DESC_SMOKEGRENADE,smokegrenade,default,item,weapon,equip,4,0,1|2|4|5|7|8|9|10|11|12|13|14|15|16|17|22|29|30|49|55|58,0,0,0,5,0,0,0,none,none,0,0,,,,0
9,#CSO2_ITEM_NAME_elites,#CSO2_ITEM_DESC_DUALELITE,elites,default,item,weapon,pistol,1,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
10,#CSO2_ITEM_NAME_fiveseven,#CSO2_ITEM_DESC_FIVESEVEN,fiveseven,default,item,weapon,pistol,1,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
11,#CSO2_ITEM_NAME_UMP45,#CSO2_ITEM_DESC_UMP45,ump45,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
12,#CSO2_ITEM_NAME_sg550,#CSO2_ITEM_DESC_SG550,sg550,default,item,weapon,snip,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
13,#CSO2_ITEM_NAME_galil,#CSO2_ITEM_DESC_GALIL,galil,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
14,#CSO2_ITEM_NAME_famas,#CSO2_ITEM_DESC_FAMAS,famas,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
15,#CSO2_ITEM_NAME_usp,#CSO2_ITEM_DESC_USP,usp45,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
16,#CSO2_ITEM_NAME_awp,#CSO2_ITEM_DESC_AWP,awp,default,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
17,#CSO2_ITEM_NAME_mp5,#CSO2_ITEM_DESC_MP5,mp5,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
18,#CSO2_ITEM_NAME_M249,#CSO2_ITEM_DESC_M249,m249,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,,1
19,#CSO2_ITEM_NAME_m3,#CSO2_ITEM_DESC_M3,m3,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
20,#CSO2_ITEM_NAME_m4a1,#CSO2_ITEM_DESC_M4A1,m4a1,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
21,#CSO2_ITEM_NAME_tmp,#CSO2_ITEM_DESC_TMP,tmp,default,item,weapon,smg,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
22,#CSO2_ITEM_NAME_g3sg1,#CSO2_ITEM_DESC_G3SG1,g3sg1,default,item,weapon,snip,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
23,#CSO2_ITEM_NAME_flashbang,#CSO2_ITEM_DESC_FLASHBANG,flashbang,default,item,weapon,equip,5,0,1|4|12|14|15|17|22|29|30|49|55|58|68,0,0,0,5,0,0,0,none,none,0,0,,,,0
24,#CSO2_ITEM_NAME_deserteagle,#CSO2_ITEM_DESC_DESERTEAGLE,deserteagle,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
25,#CSO2_ITEM_NAME_sg552,#CSO2_ITEM_DESC_SG552,sg552,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
26,#CSO2_ITEM_NAME_ak47,#CSO2_ITEM_DESC_AK47,ak47,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
27,#CSO2_ITEM_NAME_KNIFE,#CSO2_ITEM_DESC_KNIFE,default_knife,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
28,#CSO2_ITEM_NAME_p90,#CSO2_ITEM_DESC_P90,p90,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
29,#CSO2_ITEM_NAME_FNC,#CSO2_ITEM_DESC_FNC,fnc,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
30,#CSO2_ITEM_NAME_ANACONDA,#CSO2_ITEM_DESC_ANACONDA,anaconda,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
31,#CSO2_ITEM_NAME_MP7,#CSO2_ITEM_DESC_MP7,mp7,default,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
32,#CSO2_ITEM_NAME_F2000,#CSO2_ITEM_DESC_F2000,f2000,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,1
33,#CSO2_ITEM_NAME_CROWBAR,#CSO2_ITEM_DESC_CROWBAR,crowbar,default,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
34,#CSO2_ITEM_NAME_defusekit,#CSO2_ITEM_DESC_DEFUSEKIT,defusekit,default,item,weapon,equip,-1,3,1|4|11|12|13|14|29|49|55|58,0,0,0,5,0,0,0,none,none,0,0,,,,0
35,#CSO2_ITEM_NAME_nightvision,#CSO2_ITEM_DESC_NIGHTVISION,nightvision,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
