;name,id,order,use,new,option,useContinuousMap,event,Category,loadingBG,maxPlayer,expMod,pointMod,league
de_train,1,1,1,,,1,,1,de_train_bg,32,1,1,1
de_dust,2,2,1,,,1,,1,background01,32,1,1,0
de_dust2,3,3,1,,,1,,1,de_dust2_bg,32,1,1,1
cs_office,4,4,1,,,1,,2,background01,32,1,1,0
cs_assault,5,5,1,,,1,,2,background01,32,1,1,0
ware_house_dlc,6,6,1,,,1,,0,background01,32,1,1,0
cs_italy,7,7,1,,,1,,2,cs_italy_bg,32,1,1,1
DM_shutdown,8,8,1,,,1,,0,background01,32,1,1,1
DM_uprising,9,9,1,,,1,,0,background01,32,1,1,0
cs_militia,10,10,1,,,1,,2,background01,32,1,1,0
de_nuke,11,11,1,,,1,,1,background01,32,1,1,1
de_inferno,12,12,1,,,1,,1,de_inferno_bg,32,1,1,1
tuto_walk,13,13,1,,,1,,0,background01,32,1,1,1
de_favela,14,14,1,,,1,,1,background01,32,1,1,0
de_aztec,15,15,1,,,1,,1,de_train_bg,32,1,1,0
zd_internal,16,16,1,,,1,,0,background01,32,1,1,0
cs_aquarium,17,17,1,,,1,,2,background01,32,1,1,0
de_vantage,18,18,1,,,1,,1,background01,32,1,1,0
hs_italy2,19,19,1,,,1,,0,cs_italy_bg,32,1,1,0
test_bigcity,20,20,1,,,1,,0,background01,32,1,1,0
test_bigoutdoor,21,21,1,,,1,,0,background01,32,1,1,0
de_prodigy,22,22,1,,,1,,1,background01,32,1,1,0
de_cbble,23,23,1,,,1,,1,background01,32,1,1,1
de_centered,24,24,1,,,1,,1,background01,32,1,1,0
cs_italy_night,25,25,1,,,1,,2,cs_italy_bg,32,1,1,0
cs_office_xmas,26,26,1,,,1,,2,background01,32,1,1,0
bigcity_main,100,100,1,,,1,,0,background01,64,1,1,0
bigcity_16,101,101,1,,,1,,0,background01,64,1,1,0
bigcity_128test,102,102,1,,,1,,0,background01,64,1,1,0
test_battleship,103,103,1,,,1,,0,background01,32,1,1,0
testzone_transition2,104,104,1,,,1,,0,background01,32,1,1,0
bigcity_intro,105,105,1,,,1,,0,background01,32,1,1,0
test_roadblock,106,106,1,,,1,,0,background01,32,1,1,0
bigcity_pvp,107,107,1,,,1,,0,background01,64,1,1,0
duel_diner,27,27,1,,,1,,0,background01,4,1,1,0
bigcity_ZB,108,108,1,,,1,,0,background01,64,1,1,0
DM_mboss,28,28,1,,,1,,0,background01,8,1,1,0
de_survivor,29,29,1,,,1,,1,de_dust2_bg,32,1,1,0
zc_trainyard,30,30,1,,,1,,0,background01,16,1,1,0
test_rooftop,31,31,1,,,1,,0,background01,32,1,1,0
zc_trainyard_notrain,32,32,1,,,1,,0,background01,24,1,1,0
zc_test1,33,33,1,,,1,,0,background01,24,1,1,0
zc_test2,34,34,1,,,1,,0,background01,24,1,1,0
cs_italy_zb,35,35,1,,,1,,2,cs_italy_bg,32,1,1,0
cs_assault_zb,36,36,1,,,1,,2,background01,32,1,1,0
de_vantage_zb,37,37,1,,,1,,1,background01,32,1,1,0
cs_militia_zb,38,38,1,,,1,,2,background01,32,1,1,0
de_nuke_zb,39,39,1,,,1,,2,background01,32,1,1,0
dm_killhouse,40,40,1,,,1,,0,background01,32,1,1,1
de_highland,41,41,1,,,1,,1,background01,32,1,1,0
dm_sewer,42,42,1,,,1,,0,background01,32,1,1,0
de_cornerwork,43,43,1,,,1,,1,background01,32,1,1,0
dm_cargoship,44,44,1,,,1,,0,background01,32,1,1,0
campaign_05,45,45,1,,,1,,0,background01,32,1,1,1
hs_studio,46,46,1,,,1,,0,cs_italy_bg,32,1,1,0
hs_highland,47,47,1,,,1,,0,cs_italy_bg,32,1,1,0
hs_festival,48,48,1,,,1,,0,cs_italy_bg,32,1,1,0
dev_test,49,49,1,,,1,,0,cs_italy_bg,32,1,1,0
hs_aqua,50,50,1,,,1,,0,cs_italy_bg,32,1,1,0
zp_militia,51,51,1,,,1,,0,cs_italy_bg,32,1,1,0
zd_lasttrain,52,52,1,,,1,,0,cs_italy_bg,32,1,1,0
zd_park,53,53,1,,,1,,0,cs_italy_bg,32,1,1,0
hs_dust2,54,54,1,,,1,,0,cs_italy_bg,32,1,1,0
de_tides,55,55,1,,,1,,1,background01,32,1,1,1
zp_nextroom,56,56,1,,,1,,0,cs_italy_bg,32,1,1,0
awp_museum,57,57,1,,,0,,0,cs_italy_bg,32,1,1,0
zp_assault,58,58,1,,,1,,0,cs_italy_bg,32,1,1,0
zp_italy,59,59,1,,,1,,0,cs_italy_bg,32,1,1,0
