;name,id,order,use,rule_id,league,automatch_normal,automatch_rank,option,ui_halftime,ui_team,ui_counttype,ui_missiontext,ui_botmode,ui_pvemode,ui_teamswitch_selection,defaultitem,check_minplayer,check_everyplayerspawn,map_categorize,kad,accuracy,winlose,use_in_channel,roundbase,lua_ref_type,battleboard_type,ui_team_name_ct,ui_team_name_tr,new_mod,update_mod,ui_mod_ex,map_id,ui_mod_set_state
original,1,1,1,0,1,1,0,autoteambalance(0;1;*2;3)/observer(*0;1;2)/weaponrestrict(*0;9;5;4;3;7)/teamswitch(0;*1)/maxplayers(10;*16;20;24;32),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINAL,3,0,1,1;2;3;4,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_ORIGINAL,87/3/95/55/66/79/82/84/7/41/12/70/1/2/4/5/10/11/90/79/15/17/18/22/23/24/29/57/62/112,1
teamdeath,2,2,1,0,1,1,1,autoteambalance(0;1;*2;4)/killlimit(30;50;*100;150;200)/weaponrestrict(*0;9;5;4;3;7;10)/teamswitch(*0)/observer(*1)/maxplayers(10;16;*24;32)/respawntime(1;*3;5;7),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_TDM,85/8/95/3/44/7/92/90/79/84/4/1/2/5/9/10/11/12/15/17/18/22/23/24/29/40/42/46/55/57/62/66/70/112,1
zombie,3,3,1,0,0,0,0,weaponrestrict(0)/winlimit(5;*9;*15;*20;*30)/observer(0;*1;2)/maxplayers(10;16;24;32;50;*65),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,3,0,0,,0,1,0,0,0,1,n1b1m1c0,1,0,1,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_ZOMBIE,7/2/5/9/10/11/15/18/23/24/29/41/62/124/125/126/127/132/134/137/150/153/154/157/179/165/169/180/181/183/184/185/186/187/188/189/192/200/201/202/203/204/204/205/206/207/208,1
stealth,4,4,1,0,1,0,0,autoteambalance(0;1;*2;3)/winlimit(3;*5;9;13)/maxplayers(10;*16;24;32)/weaponrestrict(0)/teamswitch(0;*1),1,1,1,#CSO2_UI_MISSIONTEXT_STEALTH,3,0,0,,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_STEALTH,7/1/4/3/2/5/10/11/12/15/17/90/79/18/22/23/24/29/41/55/62/66/70/79/84/112,1
gunteamdeath,5,55,1,0,1,1,1,autoteambalance(0;1;*2)/winlimit(1)/observer(0;*1;2)/weaponrestrict(0)/maxplayers(10;16;24;*32),0,1,1,#CSO2_UI_MISSIONTEXT_GUNTEAMDEATH,3,0,0,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_GUNTEAMDEATH,1/7/44/3/4/2/5/8/9/10/11/12/15/17/18/22/23/92/90/79/24/29/40/42/46/55/62/66/70/79/84/112,1
tutorial,6,26,1,0,1,0,0,autoteambalance(0)/weaponrestrict(0)/maxplayers(1)/winlimit(1)/observer(1),0,0,1,#CSO2_UI_MISSIONTEXT_TUTORIAL,0,0,0,,2,0,0,0,0,0,n1b1m1c0,0,0,2,,,0,0,#CSO2_UI_MOD_RECOMMEND_TUTORIAL,13,0
hide,7,7,1,6,0,0,0,autoteambalance(0)/winlimit(*5;9;13;17)/weaponrestrict(0)/observer(*1;3)/maxplayers(10;16;*24;32),0,0,1,#CSO2_UI_MISSIONTEXT_HIDE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_TAGGER,#CSO2_TEAM_NAME_PROP,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE,118/46/5/50/54/62/4/43/47/44/48/55/18/23/10/12/19,1
pig,8,8,1,0,0,0,0,autoteambalance(0;1;*2;3)/observer(0;*1;2)/weaponrestrict(0),0,1,1,#CSO2_UI_MISSIONTEXT_PIG,3,0,0,,0,1,0,0,0,1,n1b1m1c0,1,0,1,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_PIG,1/7/17/3/2/4/15/92/90/79/23/24/29/41/42/44/62/66/70/79/84/112,1
animationtest_vcd,9,9,0,0,0,0,0,,0,0,1,,0,0,0,,0,1,0,0,0,0,n1b1m1c0,0,0,0,,,0,0,,,0
gz_survivor,10,10,0,0,0,0,0,autoteambalance(0)/weaponrestrict(0),0,0,1,,0,0,0,,0,1,0,0,0,0,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,,100/107/114,0
