;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,烟花,Item_Fireworks_Fountains_Pistol,Item_Fireworks_Fountains_Button,60
3,烟花,Item_Fireworks_Human_Pistol,Item_Fireworks_Human_Button,10
3,喇叭,Item_Loudspeaker_Pistol,Item_Loudspeaker_Button,20
3,奶,Item_Mako_Heal_Pistol,Item_Mako_Heal_Button,55
3,终极,Item_Mako_Ultimate_Pistol,Item_Mako_Ultimate_Button,-1
3,彩虹猫,Item_Nyancat_Pistol,,
3,法兰哥,Item_Abyss_Watcher_Knife,,
3,魔神,Item_Daedric_Knife,Item_Daedric_Nuke_Entwatch_Button,60
3,甘道夫,Item_Gandalf_Knife,Item_Gandalf_Shallnotpass_Entwatch_Button,75
3,大锤,Item_Hammer_Knife,,
3,大剑,Item_Sword_Knife,,
3,高达,Item_White_Knight_Knife,Item_White_Knight_Nuke_Entwatch_Button,150
2,法兰哥,Item_Abyss_Watcher_Knife,,
2,蚁狮,Item_Antlion_Knife,,
2,巴哈,Item_Bahamut_Ultimate_Knife,Item_Bahamut_Ultimate_Button,-1
2,炎魔,Item_Balrog_Knife,,
2,龙祭祀,Item_Dragon_Priest_Knife,,
2,烟花,Item_Fireworks_Zombie_Knife,Item_Fireworks_Zombie_Button,10
2,泰坦,Item_Gargantua_Knife,,
2,大锤,Item_Hammer_Knife,,
2,戒灵,Item_Nazgul_Knife,,
2,肉山,Item_Roshan_Knife,,
2,召唤者,Item_Summoner_Knife,,
2,大剑,Item_Sword_Knife,,
2,炸药桶,Item_Tnt_Knife,Item_Tnt_Entwatch_Button,10
