;//原始文本,翻译文本(倒计时为翻译文本里的最后一个数字),即使文字里有数字也不进行倒计时
Original,Translation,DontCount
string,string,bool
** MAP BY thegregster101 **,*原始地图制作: thegregster101*,true
** REMIXED BY Tianli **,*地图魔改: 天笠(Tianli)*,false
** TRAM LEAVES 10 SECONDS **,*缆车10秒后离开*,false
** AFK TELEPORTING 20 SECONDS **,*20秒后传送所有落后的玩家*,false
** AFK TELEPORTING 10 SECONDS **,*10秒后传送所有落后的玩家*,false
** AFK & HUNTERS HAVE BEEN TELEPORTED **,*已传送所有落后的玩家到战场*,false
** USE RADIO TO CALL FOR HELP ! **,*去使用无线电呼叫救援!*,false
** RESCUE BOAT & HELI INBOUND 100 SECONDS **,"*已呼叫救援, 请等待载具接应!*",false
** BOAT LEAVING 15 SECONDS **,"*救援船已到达, 15秒后离开*",false
** HELI LEAVING 20 SECONDS **,"*救援直升机已到达, 20秒后离开*",false
** HELI LEAVING 10 SECONDS **,"*救援船已离开, 直升机即将起飞!*",false
** NUKE IN 10 SECONDS **,*10秒后核爆*,false
** NUKE IN 5 SECONDS **,*5秒后核爆*,false
** GAME MODE LOADING ... **,*正在选择游戏模式...*,false
** ... **,,false
** .. **,,false
** . **,,false
** CURRENT MODE : ALL ITEMS BATTLE MODE **,"*全神器战争模式*\n*奋战, 并活下来!*",false
** CURRENT MODE : CLONE MODE **,"*克隆模式*\n*究竟是好运来临, 还是厄运来袭..*",false
** CURRENT MODE : COLD WEAPON MODE **,*冷兵器模式*\n*我的40米大刀已经按耐不住了!*,true
** CURRENT MODE : CRAZY OILDRUM MODE **,"*疯狂油桶模式*\n*油桶将不断的追逐人类, 然后... Boom!*",false
** CURRENT MODE : FIREWORKS MODE **,"*烟花模式*\n*烟花易冷, 拿起烟花保护自己!*",false
** CURRENT MODE : FLOOD MODE **,*洪水模式*\n*水位正在上涨... 迅速前往终点!*,false
** CURRENT MODE : ZM MODE **,"*生存模式*\n*找个好地方存活4分钟, 地图中央的木桥有神器皮肤!*\n*注意! 高达和魔神的核爆只能在最后的半分钟使用!*",true
** SOLO TIME ** 30 SECONDS **,*最后30秒! 核爆已解锁! 已开启无限子弹!*\n*未持有皮肤的玩家将获得超快速度和超低重力!*,false
> 25 SECONDS <,*还剩25秒*,false
> 20 SECONDS <,*还剩20秒*,false
> 15 SECONDS <,*还剩15秒*,false
> 10 SECONDS <,*还剩10秒*,false
> 5 SECONDS <,*还剩5秒*,false
** HUMAN ITEM WILL BE ... **,*人类的神器是...*,false
** ZOMBIE ITEM WILL BE ... **,*僵尸的神器是...*,false
** ABYSS WATCHER ! **,*深渊监视者(法兰哥)*,false
** WHITE KNIGHT ! **,*高达*,false
** DAEDRIC ! **,*魔神*,false
** GANDALF ! **,*甘道夫*,false
** HEAL ! **,*奶*,false
** ULTIMATE ! **,*终极*,false
** NYANCAT ! **,*彩虹猫*,false
** BUNKER MINIGUN ! **,*在终点的固定炮塔*,false
** LOUDSPEAKER ! **,*喇叭*,false
** HAMMER ! **,*40米大锤*,true
** SWORD ! **,*40米大剑*,true
** ANTLION ! **,*蚁狮*,false
** BAHAMUT ! **,*巴哈姆特*,false
** BALROG ! **,*炎魔*,false
** DRAGON PRIEST ! **,*龙祭祀*,false
** NAZGUL ! **,*戒灵*,false
** TNT ! **,*炸药桶*,false
** ROSHAN ! **,*肉山*,false
** GARGANTUA ! **,*泰坦怪兽*,false
** HAMMER MAN HAS BEEN ACQUIRED **,"*<40米大锤>, 切刀按右键使用*",true
** A PLAYER HAS ACQUIRED NYANCAT **,"*<彩虹猫>, 加速移动*",false
** A PLAYER HAS ACQUIRED LOUDSPEAKER **,"*<喇叭>, 讲B话*",false
** DRAGON SLAYER HAS BEEN ACQUIRED **,"*<40米大剑>, 切刀按右键使用*",true
** A PLAYER HAS ACQUIRED ULTIMATE MATERIA **,"*<终极>, 蓄力20秒后秒杀附近所有僵尸*",true
** A PLAYER HAS ACQUIRED HEAL MATERIA **,"*<奶>, 恢复血量并暂时免疫感染和伤害*",false
** ... THE CREATURE OF SHADOW AND FIRE IS HERE ... **,"*<炎魔>, 左键攻击, 右键战吼加速附近僵尸*",false
** THE WHITE KNIGHT IS READY ROCK THE WORLD **,"*<高达>, 左键攻击, 右键防御, E键切换轻/重攻击*\n*搓招'AADDSWSW'释放核爆蓄力5秒后秒杀附近所有僵尸*\n*'A/D'切换颜色, 'SS'确认选择当前颜色*",true
** WHEREVER THE DRAGON PRIEST GOES. EVERYTHING WITHERED **,"*<龙祭祀>, 被动伤害周围人类*\n*右键(一次性)释放核爆蓄力4秒后秒杀附近所有人类*",true
** THE DAEDRIC WILL ELIMINATE ALL HOSTILE FORCES **,"*<魔神>, 左键攻击*\n*右键(可用2次)释放核爆蓄力5秒后秒杀附近所有僵尸*",true
** A ZOMBIE HAS ACQUIRED SUMMON BAHAMUT **,"*<巴哈姆特>, 召唤<巴哈姆特>释放终极, 蓄力25秒后秒杀附近所有人类*",true
** GARGANTUA HAS ENTERED THE GAME **,"*<泰坦怪兽>, 左键攻击, 右键喷火燃烧人类*",false
** ... THE AbYSS WATCHER IS WATCHING YOU ... **,"*<深渊监视者>(法兰哥), 左/右键攻击*\n*前进时大跳+左/右键突进*\n*搓招'AADDWW'释放强力一击*",false
** NO ANY EVIL WILL PASS GANDALF! **,"*<甘道夫>, 右键圣光推开周围僵尸*\n*搓招'DAWDS'释放驱散大范围击退僵尸*",false
