;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,yek,weapon_ultima,item_ultima_button,-1
3,电,staff_electro_pistol,staff_electro_button,60
3,神圣,w_holyg,w_holybtn,-1
3,加特林,minigun,minigun_btn,-1
3,电锯,motosierra,,
3,土,weapon_earth,item_earth_button,60
3,风,weapon_wind,item_wind_button,60
2,陆行鸟,chocobo_z_knife,,
2,吸血鬼,luzoscura,bloodsucker_button,55
2,炎魔,item_balrog,,
2,戒灵,item_nazgul_5,,
2,卤粉怪,Monster_ZM_Knife,,
