;//原始文本,翻译文本(倒计时为翻译文本里的最后一个数字),即使文字里有数字也不进行倒计时
Original,Translation,DontCount
string,string,bool
**A player has picked up WIND materia**,"*有玩家捡起了<风>神器, 效果: 吹开僵尸*",false
**Zombie chocobo has been picked up**,"*有僵尸捡起了<陆行鸟>神器, 效果自动激活: 移动速度加快*",false
**A player has picked up EARTH materia**,"*有玩家捡起了<土墙>神器, 效果: 放置墙体*",false
** .. THE CREATURE OF SHADOW AND FIRE IS HERE ... **,*黑暗与邪恶火焰的究极创造物已经袭来...*,false
**HOLY grenade has been picked**,"*有玩家捡起了<神圣手雷>神器, 效果: 投掷手雷，秒杀附近的人类与僵尸*",false
**The BOSS was picked up by a zombie**,*有僵尸成为了<卤粉怪>! 快开火!!*,false
***Warning: Nazgul is coming.***,*注意: 戒灵已出现!*,false
**Bloodsucker was picked up**,"*有僵尸捡起了<吸血鬼>神器, 效果: 按E进入隐身状态*",false
** A player has learned SUPER Electro magick. **,"*有玩家捡起了<超级电>神器, 效果: 伤害僵尸并干扰附近人类视线*",false
**A player has picked up YEKTIMA materia**,"*有玩家捡起了<yek级>, 效果: yek! 干扰附近所有人类视线*",false
**A player has picked up the Daddy's MINIGUN**,"*有玩家捡起了<你爹地的加特林>, 效果: 伤害直线上的僵尸*",false
**A player has picked up the Dong Chainsaw**,"*有玩家捡起了<电锯>, 效果自动激活: 击退面前的僵尸*",false
**Admin set SOLO MODE for the next round**,*下一回合已被决定为 SOLO 模式!*,false
**Admin set TEAM MODE for the next round**,*下一回合已被决定为 正常 模式!*,false
**Admin set ZM MODE for the next round**,*下一回合已被决定为 普通生化 模式!*,false
**Admin set PRO DEFEND MODE for the next round**,*下一回合已被决定为 高手守点 模式!*,false
**Admin set FOG MODE for the next round**,*下一回合已被决定为 正常+大雾 模式!*,false
**Admin set SPINNER MODE for the next round**,*下一回合已被决定为 指尖陀螺 模式!*,false
**Admin set THOMAS MODE for the next round**,*下一回合已被决定为 托马斯小火车 模式!*,false
**Admin set FLOOR IS LAVA MODE for the next round**,*下一回合已被决定为 地面升岩浆 模式!*,false
**Admin set BOSS MODE for the next round**,*下一回合已被决定为 打BOSS 模式!*,false
**Hello my fellow laser fags**,*你们好啊各位跳刀痴们*,false
**We all know that all you need is to jump lasers and solo**,*大家都知道，大家也都心里想着跳刀，然后拿个solo*,false
**Heres a small gift for you**,*所以这张地图就是你们的礼物*,false
**To be serious this map is fun made just to see if it will get to the top**,*其实吧，这张图也就是做着玩的，看看谁能一步登天*,false
**With any staff the laser fag needs**,*哦对，还有那些你们跳刀痴所需要的小玩意，都在呢*,false
**Ah yeah... Music.. We got something good for you**,*啊..对了，BGM，差点忘了，那就给你们来点好听的吧*,false
**Enjoy the best tracks ever!**,*BGM到位喽!*,false
**Show those niggers that they should kiss your feets**,*让这群小B僵尸们看看谁才是最牛逼的!*,false
**Map by Headshooter.SC and HaRyDe**,*地图制作: Headshooter.SC 与 HaRyDe*,false
**It was made to show the situation with new ZE maps in 2017 and ZE at all**,*这图做出来，就是为了展示2017年的ze新图现状，以及僵尸逃跑这个模式在人们心中的整体样子*,false
**And we hope that any mapper will not make shit like this anymore**,*希望不会再有其他地图作者搞出来这种sb地图了...*,false
**SOLO MODE** Only the chosen can survive...,*SOLO模式，只有最牛逼的才能胜利..*,false
**TEAM MODE** If you are good at lazerz you can win...,*正常模式，跳刀然后通关!*,false
**ZM MODE** Just survive the whole round...,*普通生化模式，坚持，然后活下去!*,false
**PRO DEFEND MODE** Get to the tower and defend...,*高手守点模式，被选中的人啊，证明你们才是真正的断后精英!*,false
**FOG MODE** OMG where are lasers?! I cant see them!,*正常+大雾模式，雾霾来为跳刀痴们助阵啦!*,false
**SPINNER MODE** It is spinning YEEEAAAHHHF2389yhfwj3@HJ#,*指尖陀螺模式，跳刀房怎么成指尖陀螺了?!*,false
**BOSS MODE** Fight the most powerful creature on this map...,*打BOSS模式，准备面对狮子王的梦魇..*,false
**FLOOR IS LAVA MODE** Watch out for rising lava boys,*地面升岩浆模式，岩浆要出来了，快去上面!*,false
**THOMAS MODE** Let ride Thomas! OH wait there is a UFO also waiting us!,*托马斯小火车模式，坐着托马斯..哦对，还有个UFO!*,false
