;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,奶,Weapon_Heal,Item_Heal_Button,60
3,火,Weapon_Fire,Item_Fire_Button,60
3,电,Weapon_Electro,Item_Electro_Button,60
3,浮毒,Weapon_Bio,Item_Bio_Button,60
3,黑洞,Weapon_Gravity,Item_Gravity_Button,60
3,风,Weapon_Wind,Item_Wind_Button,60
3,土,Weapon_Earth,Item_Earth_Button,60
3,终极,Weapon_Ultima,Item_Ultima_Button,-1
3,睡,Weapon_Sleep,Item_Sleep_Button,60
3,不死鸟,Weapon_Potion,Potion_Button,-1
2,仙人掌,CactusZM_Z_Knife,
2,冰,Weapon_Z_Ice,Item_Z_Ice_Button,70
2,火,Weapon_Z_Fire,Item_Z_Fire_Button,70
2,毒,Weapon_Z_Poison,Item_Z_Poison_Button,70
2,迷惑,Item_Z_Confuse_knife,Item_Z_Confuse_button,75
