;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,水,Staff_Water_Pistol,Staff_Water_Button,65
3,火,Staff_Fire_Pistol,Staff_Fire_Button,65
3,终极,Staff_Holy_Pistol,Staff_Holy_Button,-1
3,奶,Staff_Heal_Pistol,Staff_Heal_Button,60
3,土,Staff_Earth_Pistol,Staff_Earth_Button,65
3,电,Staff_Electro_Pistol,Staff_Electro_Button,65
3,风,Staff_Wind_Pistol,Staff_Wind_Button,65
2,黑洞,Knife_Lure_Knife,Knife_Lure_Button,80
2,致盲,Knife_Blind_Knife,Knife_Blind_Button,80
2,秒杀,Knife_Warp_Knife,Knife_Warp_Button,80
2,隐身,Knife_Invis_Knife,Knife_Invis_Button,80
2,护盾,Knife_Shield_Knife,Knife_Shield_Button,80
2,奶,Knife_Heal_Knife,Knife_Heal_Button,80
2,火,Knife_Fire_Knife,Knife_Fire_Button,80
2,冰,Knife_Frost_Knife,Knife_Frost_Button,80
