;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,桐人,item_kirito_knife,,
3,亚丝娜,item_asuna_knife,,
3,诗乃,item_shino_knife,,
3,终极,item_ultima_elite,item_ultima_button,-1
3,土,item_earth_elite,item_earth_button,60
3,黑洞,item_gravity_elite,item_gravity_button,60
3,奶,item_heal_elite,item_heal_button,60
3,电环,item_lightning_elite,item_lightning_button,60
3,漂浮,item_water_elite,item_water_button,60
3,风,item_wind_elite,item_wind_button,68
3,复制,item_trace_elite,item_trace_button,100
3,召唤,item_zero_elite,item_zero_button,80
3,不详物,item_cho_elite,
3,水晶,item_cry_elite,
3,回城水晶,item_tp_elite,
2,黑洞,zgravity_knife,zgravity_button,80
2,冰,zice_knife,zice_button,80
2,护盾,zshield_knife,zshield_button,80
2,迷惑,zstealth_knife,zstealth_button,80
