;//原始文本,翻译文本(倒计时为翻译文本里的最后一个数字),即使文字里有数字也不进行倒计时
Original,Translation,DontCount
string,string,bool
***LUFFAREN HAS ENTERED THE GAME***,*有玩家拿到了Luffaren专属水印匕首*,false
***LUFFAREN HAS ENTERED THE ADMIN ROOM***,*持有<卤粉>匕首的人已进入调关房*,false
***PLAYER PICKED UP ITEM - SPEEDER***,"*有玩家捡起了<加速>神器, 效果: 加速移动*",false
***PLAYER PICKED UP ITEM - HERDER***,"*有玩家捡起了<推力>神器, 效果: 推开僵尸*",false
***PLAYER PICKED UP ITEM - HEALING SHITBOX***,"*有玩家捡起了<奶>神器, 效果: 恢复血量(一次性)*",false
***PLAYER PICKED UP ITEM - ROCKET CANNON***,"*有玩家捡起了<火箭>神器, 效果: 对NPC/僵尸范围伤害*",false
***PLAYER PICKED UP ITEM - BEAM CANNON***,"*有玩家捡起了<光束>神器, 效果: 对NPC/僵尸直线伤害*",false
***PLAYER PICKED UP ITEM - MINI CANNON***,"*有玩家捡起了<加特林>神器, 效果: 对NPC/僵尸高额直线伤害*",false
^This fella is a silly-willy that everyone should point and laugh at!,"Luffaren: 有笨蛋, 我不说是谁",false
^That was the stupidest thing i've ever heard as a map,Luffaren: 你们刚才说啥? 我和我的小伙伴们都笑了,false
ALL HAIL LUFFAREN,"Luffaren: 你们打僵尸的停一停, 给我这种神鼓个掌先",false
U WOT M8,"Luffaren: 说啥呢兄弟, 没听清, 罚你再说一遍",false
Hey there everyone,Luffaren: 打个酱油先,false
...,Luffaren: 额,false
HEY EVERYONE! Kaemon is a wet biscuit!!!,"Luffaren: 我去, Kaemon下边好多水, 必须分享给你们",false
Type 1 if you are jerking it right now,Luffaren: 一边打游戏一边打飞机的扣个1,true
YOU AND EVERYONE YOU KNOW WILL DIE ONE DAY,"Luffaren: 你们都活不久的, 你懂的...",false
SEND ALL YOUR NUDES TO LUFFAREN!!!,Luffaren: 我要看色图! 赶紧发给我!!!,false
^Wtf are you even talking about?,"Luffaren: 说啥呢哥们, 听不懂啊",false
What,Luffaren: 搞毛,false
HEY GUYS!,Luffaren: xdm我来打个酱油刷下存在感,false
EVERYONE GO HERE AND TELL KAEMON TO STOP SLACKING - http:,"Luffaren: 唉, K某人天天摸鱼不干事, 都摸几年了, 真得拷打一下吧",false
Everyone should really consider sending Luffaren some nudes,"Luffaren: 在? 为什么不给我发色图? 给我发点色图, 速速",false
Where da nudes for Luffaren b at?,"Luffaren: 色图呢, 怎么还见不到色图?!",false
***STAGE SET - PROLOGUE***,*关卡被调整为第零关(序章)*,false
***STAGE SET - ACT I***,*关卡被调整为第一关*,false
***STAGE SET - ACT II***,*关卡被调整为第二关*,false
***STAGE SET - ACT III***,*关卡被调整为第三关*,false
***THE ETERNAL TRUTH HAS BEEN SUMMONED***,*已开启EX模式*,false
***SOCRATES WILL BE WITH YOU FOREVER***,*苏格拉底与你永不分离..*,false
***THE ETERNAL TRUTH HAS BEEN RETRACTED***,*已关闭EX模式*,false
***SOCRATES IS ALWAYS WATCHING***,*苏格拉底永远注视着你..*,false
