;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,土,doton_elite,doton_button,65
3,风,futon_elite,futon_button,60
3,奶,heal_elite,heal_button,60
3,花树界,kajukai_korin_elite,kajukai_korin_button,-1
3,火,katon_elites,katon_button,35
3,电,raiton_elite,raiton_button,60
3,罗生门,rashomon_elite,rashomon_button,-1
3,水,suiton_elite,suiton_button,70
2,火,zamateratsu_Knife,zamateratsu_Button,60
2,幻术,zgenjutsu_knife,zgenjutsu_button,50
2,奶,zheal_knife,zheal_button,50
2,冰,zkaleidoscope_knife,zkaleidoscope_button,70
2,斑,zmadara_knife,zmadara_button,160
2,黑洞,zsharingan_knife,zsharingan_button,90
